gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
CYC1,3,210,5,142,0.3696340707799328,0.6055766163353464,0.43222800479566054,0.21783090298056101
GLIS3,4,209,4,143,0.8652202879614997,1.0,0.06287330563790844,-0.0
KIAA2026,7,206,7,140,0.6639544178100812,0.39136593830755195,0.17786173504925024,0.4074169749191668
CDKN2A,9,204,7,140,1.0,0.4496917979688909,-0.0,0.34708503355577575
AQP7P2,0,213,1,146,0.8518536551102904,1.0,0.06963500879801482,-0.0
TDRD7,8,205,6,141,1.0,1.0,-0.0,-0.0
OR13C4,3,210,7,140,0.11483202472138936,0.4131761509873123,0.9399369776155053,0.3838647544165185
TMEM38B,5,208,4,143,1.0,1.0,-0.0,-0.0
RBM18,2,211,1,146,1.0,1.0,-0.0,-0.0
FAM78A,3,210,2,145,1.0,1.0,-0.0,-0.0
TMEM8C,0,213,2,145,0.3242395507928306,1.0,0.4891340109451508,-0.0
C9orf116,0,213,1,146,0.8518536551102904,1.0,0.06963500879801482,-0.0
FAM21A,8,205,7,140,0.8405228482013088,1.0,0.07545047649829884,-0.0
VPS26A,1,212,1,146,1.0,1.0,-0.0,-0.0
PALD1,14,199,6,141,0.43527989775780784,0.5789899607570332,0.3612313891128693,0.23732896654134128
DLG5,12,201,4,143,0.2900676794503856,0.4595973861839423,0.5375006594025439,0.33762244989045065
FFAR4,0,213,3,144,0.13260553676108186,1.0,0.8774383421862629,-0.0
ARHGAP19,4,209,3,144,1.0,0.3864762307712327,-0.0,0.41287721109190795
PSD,5,208,4,143,1.0,0.37109336952269756,-0.0,0.43051680529937103
NT5C2,3,210,2,145,1.0,1.0,-0.0,-0.0
FGFR2,5,208,4,143,1.0,1.0,-0.0,-0.0
TSSC2,1,212,6,141,0.04022958357826264,1.0,1.3954544628450618,-0.0
OR52E8,5,208,2,145,0.7808101540403325,1.0,0.10745454752500777,-0.0
PLEKHA7,8,205,3,144,0.5366940186706584,0.4468208767086975,0.2702732447964425,0.3498665436415335
SLC17A6,16,197,11,136,1.0,0.3298019543874735,-0.0,0.4817467750796737
KCNA4,8,205,12,135,0.11867079063973215,0.823972053193841,0.9256561641544391,0.0840875180960009
OR4C12,5,208,5,142,0.7857225900669365,0.4237107971667934,0.10473076040941089,0.37293046899355214
OR5AR1,5,208,5,142,0.7857225900669365,1.0,0.10473076040941089,-0.0
RCOR2,0,213,1,146,0.8518536551102904,1.0,0.06963500879801482,-0.0
MAP4K2,2,211,2,145,1.0,1.0,-0.0,-0.0
ATG2A,6,207,6,141,0.7200388747942799,1.0,0.14264405543973935,-0.0
SPDYC,1,212,3,144,0.375322161805409,1.0,0.4255957908610071,-0.0
CAPN1,2,211,2,145,1.0,1.0,-0.0,-0.0
CABP2,2,211,3,144,0.6745290717934915,1.0,0.17099932776018953,-0.0
ANO1,9,204,6,141,1.0,1.0,-0.0,-0.0
KDM4E,6,207,1,146,0.29151108658901337,1.0,0.5353449237424535,-0.0
SCN3B,3,210,6,141,0.2100563423284648,1.0,0.6776642010735195,-0.0
OR6X1,2,211,6,141,0.10425096294488535,1.0,0.9819199248461122,-0.0
OR8B2,2,211,2,145,1.0,0.6170750774519738,-0.0,0.2096619936012596
ADAMTS8,3,210,3,144,0.9665950245003128,1.0,0.014755444700573309,-0.0
KRT4,2,211,2,145,1.0,1.0,-0.0,-0.0
ITGA7,7,206,5,142,1.0,1.0,-0.0,-0.0
TIMELESS,2,211,6,141,0.10425096294488535,1.0,0.9819199248461122,-0.0
GLS2,2,211,1,146,1.0,1.0,-0.0,-0.0
IFNG,3,210,2,145,1.0,1.0,-0.0,-0.0
WDR66,6,207,6,141,0.7200388747942799,1.0,0.14264405543973935,-0.0
