gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
MYPOP,0,138,2,91,0.31433836250136415,1.0,0.5026026135545971,-0.0
RPS11,1,137,0,93,1.0,1.0,-0.0,-0.0
PRR12,1,137,3,90,0.36022173633157495,1.0,0.44343008473124673,-0.0
TBC1D17,1,137,2,91,0.729148303480987,1.0,0.13718413034732296,-0.0
SIGLEC12,9,129,2,91,0.224378127566184,1.0,0.6490194804830919,-0.0
ZNF845,4,134,3,90,1.0,1.0,-0.0,-0.0
MIR519B,0,138,1,92,0.842230304417774,1.0,0.0745691362182484,-0.0
MIR517A,1,137,0,93,1.0,1.0,-0.0,-0.0
TTYH1,2,136,1,92,1.0,1.0,-0.0,-0.0
LILRA1,5,133,7,86,0.31303535048391784,0.3104944343172349,0.5044066156382156,0.5079461802441698
KIR2DL4,1,137,3,90,0.36022173633157495,0.6170750774519738,0.44343008473124673,0.2096619936012596
KIR3DL2,5,133,4,89,1.0,1.0,-0.0,-0.0
TNNT1,0,138,1,92,0.842230304417774,1.0,0.0745691362182484,-0.0
NLRP11,8,130,3,90,0.5585579333781574,1.0,0.2529317753834534,-0.0
USP29,11,127,6,87,0.859640386391461,0.2544505826463366,0.06568318930095354,0.5943965503328396
ZNF548,3,135,1,92,0.9096079781954267,1.0,0.04114573909532821,-0.0
ZNF587,2,136,0,93,0.6585193403347638,1.0,0.18143146553542128,-0.0
DEFB126,1,137,1,92,1.0,1.0,-0.0,-0.0
TGM6,3,135,4,89,0.5936041255614561,1.0,0.22650308936253855,-0.0
DDRGK1,2,136,0,93,0.6585193403347638,1.0,0.18143146553542128,-0.0
AP5S1,0,138,0,93,1.0,1.0,-0.0,-0.0
TRMT6,1,137,0,93,1.0,1.0,-0.0,-0.0
FERMT1,1,137,2,91,0.729148303480987,1.0,0.13718413034732296,-0.0
HAO1,5,133,3,90,1.0,1.0,-0.0,-0.0
PLCB1,14,124,7,86,0.6559832407407222,0.2188774574856983,0.18310725597007205,0.6597989647623564
PLCB4,7,131,6,87,0.8768301892489665,1.0,0.05708450585043349,-0.0
LAMP5,3,135,7,86,0.10289736490914829,1.0,0.987595746909769,-0.0
RRBP1,4,134,2,91,1.0,1.0,-0.0,-0.0
CST2,1,137,2,91,0.729148303480987,1.0,0.13718413034732296,-0.0
NINL,6,132,2,91,0.5969016724391754,1.0,0.22409720427118773,-0.0
SUN5,1,137,1,92,1.0,1.0,-0.0,-0.0
EDEM2,2,136,1,92,1.0,0.4795001221869535,-0.0,0.31921127782572034
AAR2,2,136,0,93,0.6585193403347638,1.0,0.18143146553542128,-0.0
KIAA1755,13,125,5,88,0.3819746512325686,0.619796388494133,0.41796545697074367,0.20775095868989332
TOX2,4,134,3,90,1.0,1.0,-0.0,-0.0
HNF4A,7,131,5,88,1.0,1.0,-0.0,-0.0
WFDC5,0,138,0,93,1.0,1.0,-0.0,-0.0
CTSA,1,137,0,93,1.0,1.0,-0.0,-0.0
ZNF335,4,134,2,91,1.0,1.0,-0.0,-0.0
SLC13A3,2,136,1,92,1.0,1.0,-0.0,-0.0
EYA2,5,133,3,90,1.0,1.0,-0.0,-0.0
PTGIS,4,134,1,92,0.6362574981407336,1.0,0.1963670865695941,-0.0
SPATA2,1,137,3,90,0.36022173633157495,1.0,0.44343008473124673,-0.0
FAM65C,2,136,4,89,0.36036336813710723,1.0,0.4432593625999806,-0.0
PARD6B,2,136,0,93,0.6585193403347638,1.0,0.18143146553542128,-0.0
SALL4,8,130,5,88,1.0,0.5270892568655381,-0.0,0.27811583548597757
TSHZ2,8,130,9,84,0.39488309199215976,0.19670560245894686,0.403531461380471,0.7061832705719899
ZNF217,5,133,4,89,1.0,1.0,-0.0,-0.0
CTCFL,7,131,6,87,0.8768301892489665,0.6962703401140228,0.05708450585043349,0.1572221046077984
GNAS,6,132,2,91,0.5969016724391754,0.1489146731787657,0.22409720427118773,0.827062507307554
ZNF831,12,126,14,79,0.19800034130725042,0.10692999336140589,0.7033340611135813,0.9709004601390016
FAM217B,1,137,2,91,0.729148303480987,1.0,0.13718413034732296,-0.0
CDH4,9,129,3,90,0.4209677816626103,1.0,0.3757511411751913,-0.0
BAGE2,8,130,6,87,1.0,1.0,-0.0,-0.0
GRIK1,10,128,3,90,0.3128226500263203,0.7290344895388041,0.5047018092396846,0.1372519253691689
KRTAP13-1,1,137,3,90,0.36022173633157495,1.0,0.44343008473124673,-0.0
KRTAP21-2,0,138,1,92,0.842230304417774,1.0,0.0745691362182484,-0.0
TIAM1,15,123,13,80,0.6139183615344614,0.1970370418515739,0.21188937721777432,0.7054521212520928
MRPS6,2,136,0,93,0.6585193403347638,1.0,0.18143146553542128,-0.0
SIM2,2,136,1,92,1.0,1.0,-0.0,-0.0
ZBTB21,3,135,2,91,1.0,1.0,-0.0,-0.0
TFF2,1,137,0,93,1.0,1.0,-0.0,-0.0
POFUT2,2,136,2,91,1.0,1.0,-0.0,-0.0
COL6A2,9,129,6,87,1.0,0.8417035627534177,-0.0,0.07484083454338979
PCNT,10,128,3,90,0.3128226500263203,0.7150006546880893,0.5047018092396846,0.14569356053836782
DIP2A,7,131,3,90,0.7287859556036008,0.19043026382552397,0.13740000522088158,0.720264030909669
GAB4,5,133,2,91,0.803343069428577,0.7518296340458492,0.09509894869232484,0.1238805601745527
DGCR8,1,137,2,91,0.729148303480987,1.0,0.13718413034732296,-0.0
MYO18B,10,128,12,81,0.2270908910387525,0.128182813479044,0.6438002856435172,0.892170200336488
EMID1,0,138,0,93,1.0,1.0,-0.0,-0.0
NEFH,4,134,1,92,0.6362574981407336,1.0,0.1963670865695941,-0.0
BPIFC,5,133,0,93,0.16305582313152764,1.0,0.7876636868382041,-0.0
ISX,2,136,2,91,1.0,1.0,-0.0,-0.0
NOL12,0,138,1,92,0.842230304417774,1.0,0.0745691362182484,-0.0
APOBEC3G,0,138,1,92,0.842230304417774,1.0,0.0745691362182484,-0.0
ENTHD1,2,136,3,90,0.6534376736205666,1.0,0.18479583010872824,-0.0
TTC38,0,138,2,91,0.31433836250136415,1.0,0.5026026135545971,-0.0
MOV10L1,1,137,2,91,0.729148303480987,1.0,0.13718413034732296,-0.0
ASMT,4,134,1,92,0.6362574981407336,1.0,0.1963670865695941,-0.0
ZBED1,4,134,2,91,1.0,0.7236736098317631,-0.0,0.14045726447967397
XG,2,136,0,93,0.6585193403347638,1.0,0.18143146553542128,-0.0
GYG2,2,136,1,92,1.0,1.0,-0.0,-0.0
HCCS,2,136,0,93,0.6585193403347638,1.0,0.18143146553542128,-0.0
ASB11,2,136,1,92,1.0,1.0,-0.0,-0.0
ACE2,0,138,1,92,0.842230304417774,1.0,0.0745691362182484,-0.0
RAI2,2,136,0,93,0.6585193403347638,1.0,0.18143146553542128,-0.0
BEND2,6,132,7,86,0.46103624450444824,1.0,0.33626493107557626,-0.0
CDKL5,3,135,2,91,1.0,1.0,-0.0,-0.0
